movieId,imdbId,tmdbId
307,108394,108
481,107302,10909
1091,98627,8491
1257,88794,13667
1449,118111,16448
1590,119081,8413
1591,120177,10336
2134,90305,11814
2478,92086,8388
2840,145531,10307
2986,100502,5549
3020,106856,37094
3424,97216,925
3698,93894,865
3826,164052,9383
3893,171580,10480
170,113243,10428
849,116225,10061
1186,98724,1412
1235,67185,343
1244,79522,696
1296,91867,11257
1663,83131,10890
1962,97239,403
2108,102250,2107
2243,92699,12626
2352,85244,12560
2707,137363,1073
2746,91419,10776
2915,86200,9346
3363,69704,838
640,116095,10988
828,115472,18975
1221,71562,240
1321,82010,814
1645,118971,1813
1825,119905,19848
1985,95271,11357
2024,102757,1411
2028,120815,857
1,114709,862
2,113497,8844
5,113041,11862
6,113277,949
10,113189,710
11,112346,9087
16,112641,524
19,112281,9273
20,113845,11517
23,112401,9691
25,113627,451
31,112792,9909
32,114746,63
34,112431,9598
36,112818,687
39,112697,9603
41,114279,31174
44,113855,9312
45,114681,577
47,114369,807
50,114814,629
61,116260,17182
62,113862,2054
65,115683,9536
66,116839,11525
70,116367,755
76,114367,9102
85,112365,8447
95,115759,9208
100,115907,11062
104,116483,9614
110,112573,197
141,115685,11000
145,112442,9737
150,112384,568
151,114287,11780
153,112462,414
158,112642,8839
160,112715,10329
161,112740,8963
163,112851,8068
165,112864,1572
169,113114,9073
172,113481,9886
173,113492,9482
175,113540,9344
180,113749,2293
181,113820,9070
185,113957,1642
186,113986,11472
193,114436,10802
198,114558,281
204,114781,3512
216,112508,11017
223,109445,2292
231,109686,8467
253,110148,628
255,110189,18713
256,110216,6280
260,76759,11
267,110443,11008
288,110632,241
292,114069,6950
293,110413,101
296,110912,680
315,111255,2636
316,111282,2164
317,111070,11395
318,111161,278
327,114614,9067
329,111280,193
332,114852,12122
333,114694,11381
338,114857,9271
339,114924,2064
344,109040,3049
349,109444,9331
350,109446,10731
353,109506,9495
356,109830,13
361,110167,10660
364,110357,8587
367,110475,854
368,110478,9359
370,110622,36593
377,111257,1637
379,111438,8831
380,111503,36955
382,111742,10395
405,110027,8011
410,106220,2758
420,109254,306
423,109303,178
432,109439,11310
434,106582,9350
435,106598,9612
440,106673,11566
442,106697,9739
454,106918,37233
455,106965,1634
457,106977,5503
466,107144,9255
471,110074,11934
474,107206,9386
480,107290,329
485,107362,9593
494,116253,2320
500,107614,788
514,110955,10872
517,107969,7007
520,107977,8005
524,108002,14534
527,108052,424
539,108160,858
541,83658,78
546,108255,9607
552,108333,10057
586,99785,771
587,99653,251
588,103639,812
589,103064,280
590,99348,581
592,96895,268
593,102926,274
595,101414,10020
597,100405,114
608,116282,275
610,82509,11827
647,115956,10684
648,117060,954
653,116136,8840
724,115963,9100
733,117500,9802
736,117998,664
741,113568,9323
762,117765,9879
778,117951,627
780,116629,602
784,115798,9894
785,116778,11543
786,116213,9268
788,117218,9327
798,116040,11228
805,117913,1645
818,118073,12606
832,117438,3595
836,115857,12123
852,117918,10478
858,68646,238
875,110693,410921
879,120004,11015
919,32138,630
924,62622,62
941,32762,32093
1015,107131,6878
1020,106611,864
1036,95016,562
1037,104692,10163
1047,116908,11412
1049,116409,10586
1059,117509,454
1079,95159,623
1080,79470,583
1088,92890,88
1089,105236,500
1090,91763,792
1092,103772,402
1094,104036,11386
1100,99371,2119
1101,92099,744
1126,101775,10379
1127,96754,2756
1136,71853,762
1196,80684,1891
1198,82971,85
1200,90605,679
1203,50083,389
1207,56592,595
1208,78788,28
1210,86190,1892
1214,78748,348
1215,106308,766
1220,80455,525
1222,93058,600
1240,88247,218
1242,97441,9665
1259,92005,235
1265,107048,137
1270,88763,105
1274,94625,149
1275,91203,8009
1291,97576,89
1320,103644,8077
1339,103874,6114
1356,117731,199
1370,99423,1573
1372,102975,174
1374,84726,154
1375,88170,157
1376,92007,168
1377,103776,364
1385,105690,8845
1391,116996,75
1393,116695,9390
1396,105435,2322
1405,115641,3179
1407,117571,4232
1425,119115,12145
1445,119640,14908
1466,119008,9366
1476,119951,9403
1485,119528,1624
1500,119229,9434
1515,120461,10357
1517,118655,816
1518,118771,2163
1527,119116,18
1544,119567,330
1552,118880,1701
1562,118688,415
1580,119654,607
1584,118884,686
1586,119173,4421
1592,118570,20737
1597,118883,8834
1606,119484,17832
1608,118571,9772
1610,99810,1669
1615,119051,9433
1616,119874,6623
1617,119488,2118
1625,119174,2649
1641,119164,9427
1642,116631,172545
1647,119906,12628
1653,119177,782
1665,118689,1281
1673,118749,4995
1676,120201,563
1682,120382,37165
1687,119395,4824
1690,118583,8078
1704,119217,489
1721,120338,597
1722,120347,714
1732,118715,115
1747,120885,586
1748,118929,2666
1760,120185,6116
1769,120008,11702
1779,120184,10153
1784,119822,2898
1792,120873,11808
1805,120890,617
1810,119942,9440
1831,120738,2157
1876,120647,8656
1882,120685,929
1884,120669,1878
1892,120787,1965
1909,120902,846
1917,120591,95
1918,122151,944
1921,138704,473
1923,129387,544
1961,95953,380
1967,91369,13597
1968,88847,2108
2000,93409,941
2001,97733,942
2002,104714,943
2003,87363,927
2004,99700,928
2006,120746,9342
2011,96874,165
2012,99088,196
2021,87182,841
2036,109287,13962
2046,91059,10122
2053,104437,11158
2054,97523,9354
2058,120768,9631
2081,97757,10144
2082,104868,10414
2094,102803,10249
2100,88161,2619
2105,84827,97
2115,87469,87
2126,120832,8688
2133,92513,14367
2140,83791,11639
2150,80801,8393
2152,140796,21661
2153,118661,9320
2161,88323,34584
2167,120611,36647
2174,94721,4011
2193,96446,847
2194,94226,117
2231,128442,10220
2268,104257,881
2273,120812,2109
2278,122690,8195
2291,99487,162
2294,120587,8916
2296,120770,9429
2302,104952,10377
2311,86837,4437
2334,133952,9882
2335,120484,10663
2353,120660,9798
2355,120623,9487
2378,87928,9336
2379,89822,10157
2381,93756,10587
2391,120324,10223
2393,120844,200
2405,89370,10303
2406,88011,9326
2407,88933,10328
2424,128853,9489
2433,120633,9422
2450,91225,10658
2468,91306,10945
2470,90555,9671
2471,92493,9396
2490,120784,2112
2501,132477,13466
2502,151804,1542
2505,134273,8224
2539,122933,9535
2541,139134,796
2542,120735,100
2549,131646,10350
2571,133093,603
2600,120907,1946
2605,137494,1844
2616,99422,8592
2617,120616,564
2628,120915,1893
2640,78346,1924
2641,81573,8536
2672,139809,1090
2683,145660,817
2688,144214,2275
2700,158983,9473
2701,120891,8487
2706,163651,2105
2710,185937,2667
2712,120663,345
2716,87332,620
2717,97428,2978
2718,157503,10490
2720,141369,332
2722,149261,8914
2723,132347,9824
2762,167404,745
2763,155267,913
2764,63688,912
2770,131325,11353
2791,80339,813
2792,83530,2665
2794,89670,11418
2797,94737,2280
2803,107798,9944
2805,130121,10154
2808,105698,9349
2816,95382,11955
2858,169547,14
2860,181316,11001
2881,150377,10398
2889,134618,15198
2890,120188,6415
2916,100802,861
2918,91042,9377
2947,58150,658
2948,57076,657
2949,55928,646
2953,104431,772
2959,137523,550
2985,93870,5548
2987,96438,856
2989,82398,699
2990,97742,709
2991,70328,253
2993,59800,660
2997,120601,492
3000,119698,128
3033,94012,957
3039,86465,1621
3052,120655,1832
3063,105156,9264
3082,143145,36643
3087,96061,9647
3107,101393,2924
3113,146675,9946
3114,120363,863
3146,205000,10402
3156,182789,2277
3173,146838,9563
3190,134983,10384
3208,107659,9644
3247,105417,2005
3248,108147,6279
3249,104389,11087
3250,106246,7305
3252,105323,9475
3253,105793,8872
3254,108525,8873
3255,104694,11287
3256,105112,9869
3263,105812,10158
3264,103893,10206
3268,105477,9876
3275,144117,8374
3298,181984,14181
3300,134847,2787
3301,190138,2069
3316,184858,2155
3354,183523,2067
3388,93148,8989
3448,93105,801
3452,165929,2085
3479,89457,526
3481,146882,243
3489,102057,879
3513,160797,10479
3527,93773,106
3552,80487,11977
3555,141926,3536
3578,172495,98
3593,185183,5491
3608,89791,5683
3617,215129,9285
3623,120755,955
3635,76752,691
3638,79574,698
3639,71807,682
3697,100403,169
3702,79501,9659
3703,82694,8810
3704,89530,9355
3717,187078,9679
3740,90728,6978
3745,120913,7450
3751,120630,7443
3753,187393,2024
3755,177971,2133
3763,89118,9873
3793,120903,36657
3809,103241,10276
3825,200550,6282
3827,186566,5551
3835,106627,33408
3841,99005,11856
3868,95705,37136
3869,102510,37137
3879,160009,11398
3889,144964,12211
3916,210945,10637
3948,212338,1597
3952,208874,6521
3977,160127,4327
3980,203019,11978
3981,199753,8870
3984,66995,681
3990,213203,16340
3994,217869,9741
3996,190332,146
3997,190374,11849
4005,93428,708
4011,208092,107
4015,242423,8859
4018,207201,3981
4019,181536,711
4022,162222,8358
4025,212346,1493
4034,181865,1900
4052,218817,9989
4084,92644,96
4085,86960,90
4104,92974,18935
4121,93260,2614
4148,212985,9740
4167,179626,2749
4207,100232,12773
4214,88000,14052
4223,215750,853
4226,209144,77
4232,227538,10054
4238,164334,2043
4239,221027,4133
4246,243155,634
4262,86250,111
4270,209163,1734
4306,126029,808
4308,203009,824
4321,101587,1406
4343,251075,9397
4344,244244,9705
4351,102685,1089
4367,146316,1995
4396,82136,11286
4446,173840,2114
4448,227445,11371
4483,94824,18509
4487,94889,7520
4544,96101,11966
4545,91949,2605
4571,96928,1648
4621,97778,9494
4638,163025,331
4643,133152,869
4678,98546,11959
4679,98554,2616
4701,266915,5175
4718,252866,2770
4719,181739,12610
4721,244000,13496
4734,261392,2294
4776,139654,2034
4844,219965,3172
4874,272152,167
4878,246578,141
4886,198781,585
4889,252503,11088
4890,256380,9889
4896,241527,671
4901,266987,1535
4958,159273,8007
4963,240772,161
4975,259711,1903
4979,265666,9428
4980,101452,1649
4992,35423,11232
4993,120737,120
4995,268978,453
5010,265086,855
5049,83511,150
5064,245844,11362
5069,270933,68149
5107,251114,10592
5110,247745,39939
5152,277434,10590
5218,268380,425
5219,120804,1576
5254,187738,36586
5283,283111,11452
5299,259446,8346
5349,145487,557
5378,121765,1894
5388,278504,320
5400,164184,4614
5418,258463,2501
5438,100135,10169
5445,181689,180
5459,120912,608
5463,253556,6278
5464,257044,4147
5481,295178,818
5502,286106,2675
5504,287717,9488
5507,295701,7451
5541,102059,9595
5563,269095,13536
5665,211465,7501
5679,298130,565
5782,82949,1672
5816,295297,672
5872,246460,36669
5876,258068,8198
5882,133240,9016
5903,238380,7299
5944,253754,201
5945,257360,2755
5952,167261,121
5954,307901,1429
5956,217505,3131
5959,272207,11022
5989,264464,640
5999,119273,16225
6003,290538,4912
6016,317248,598
6059,292506,1647
6104,84352,11949
6188,302886,11635
6213,314353,9567
6264,298814,9341
6281,183649,1817
6283,275277,11299
6294,245803,11817
6322,310910,10743
6333,290334,36658
6365,234215,604
6373,315327,310
6377,266543,12
6378,317740,9654
6383,322259,584
6534,286716,1927
6535,333780,10327
6537,181852,296
6539,325980,22
6541,311429,8698
6548,172156,8961
6550,274166,9486
6564,325703,1996
6586,328828,8273
6595,257076,9257
6659,100814,9362
6679,308808,19433
6708,325805,7270
6754,320691,277
6764,327850,10159
6794,106375,10438
6807,85959,4543
6857,107692,14282
6874,266697,24
6879,313542,11329
6934,242653,605
6947,311113,8619
6966,99365,9556
6979,86567,860
7004,99938,951
7102,92925,10023
7143,325710,616
7147,319061,587
7153,167260,122
7346,265208,10591
7348,360009,11169
7361,338013,38
7369,331632,11024
7373,167190,1487
7438,378194,393
7444,337563,10096
7454,338526,7131
7458,332452,652
7481,89092,11864
7569,62512,667
7573,86006,36670
7649,120711,10940
7704,90927,16113
7810,146455,10916
7811,146247,10921
7812,121804,10941
7841,287839,192936
7842,142032,876
8132,104346,16219
8169,92494,11548
8360,298148,809
8361,319262,435
8371,296572,2789
8376,374900,8193
8464,390521,9372
8528,364725,9472
8622,361596,1777
8633,87597,11884
8636,316654,558
8641,357413,8699
8644,343818,2048
8665,372183,2502
8781,368008,14462
8798,369339,1538
8807,366551,11282
8810,370263,395
8861,318627,1577
8874,365748,747
8912,316732,11045
8914,390384,14337
8919,380609,25313
8961,317705,9806
8972,368891,2059
8982,327919,15397
8985,359013,36648
9005,106912,15613
26819,106950,12088
26870,110442,11067
27773,364569,670
27846,379225,11420
27905,405821,11662
31184,401233,11633
31696,360486,561
31804,403358,3040
31878,373074,9470
32302,430289,77120
32587,401792,187
33004,371724,7453
33437,342258,10027
33493,121766,1895
33646,398165,9291
33679,356910,787
33794,372784,272
33834,418819,11683
34162,396269,9522
34319,399201,1635
36529,399295,1830
37380,419706,8814
37733,399146,59
38061,373469,5236
39231,368709,9621
39435,386140,1656
40278,418763,25
40614,398017,8999
42721,383222,168705
42738,401855,834
43558,421729,11565
43679,414982,9286
43708,425598,292
43936,450232,2207
44191,434409,752
44193,454945,9655
44199,454848,388
44399,393735,10067
44759,430912,3093
48774,206634,9693
51662,416449,1271
51935,822854,7485
52950,409904,2269
53000,463854,1562
53972,337978,1571
53996,418279,1858
54286,440963,2503
55765,765429,4982
56367,467406,7326
728,112701,32513
1147,118147,10548
1193,73486,510
1213,99685,769
2060,131857,14013
2329,120586,73
2485,160862,10314
3178,174856,10400
3949,180093,641
4973,211915,194
5137,143861,18984
5528,265459,9357
5995,253474,423
8784,333766,401
8873,318462,1653
8949,375063,9675
8950,361862,4553
27831,375912,4836
30749,395169,205
30820,361127,9692
31410,363163,613
44195,427944,9388
44204,468565,868
46578,449059,773
46976,420223,1262
48394,457430,1417
48516,407887,1422
48696,404203,1440
48780,482571,1124
49272,381061,36557
49530,450259,1372
50068,498380,1251
51255,425112,4638
52952,480025,11798
54503,829482,8363
54997,381849,5176
55118,765443,2252
55247,758758,5915
55290,452623,4771
55820,477348,6977
56782,469494,7345
21,113161,8012
111,75314,103
208,114898,9804
224,112883,1909
227,109676,4954
261,110367,9587
273,109836,3036
337,108550,1587
515,107943,1245
555,108399,319
381,111693,10449
531,108071,11236
880,116654,9306
1041,117589,11159
1416,116250,8818
2160,63522,805
3328,165798,4816
3744,162650,479
3986,216216,8452
4033,146309,11973
4903,247425,1999
41997,408306,612
3,113228,15602
7,114319,11860
12,112896,12110
14,113987,10858
52,113819,11448
135,116130,9101
140,118055,9302
605,117247,7300
637,117608,9099
743,117723,10535
765,116669,7095
869,116745,22479
1057,116242,9716
1113,115580,11112
1317,116601,61536
1363,117372,21539
1390,117119,17795
1409,117038,2928
1457,119141,1968
43,114272,35196
162,109508,26564
176,113677,9071
246,110057,14275
299,110889,40156
348,109348,11382
501,107653,21450
534,108101,10445
551,107688,9479
594,29583,408
661,116683,10539
745,112691,532
750,57012,935
837,117008,10830
902,54698,164
903,52357,426
904,47396,567
908,53125,213
910,53291,239
912,34583,289
913,33870,963
916,46250,804
923,33467,15
946,35446,198
994,115678,18203
1029,33563,11360
1077,70707,11561
1093,101761,10537
1095,104348,9504
1131,91288,4480
1148,108598,531
1188,105488,10409
1199,88846,68
1202,94336,13446
1206,66921,185
1219,54215,539
