1,Toy Story (1995),Toy Story ,1995,Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Jumanji ,1995,Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Grumpier Old Men ,1995,Comedy|Romance
4,Waiting to Exhale (1995),Waiting to Exhale ,1995,Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Father of the Bride Part II ,1995,Comedy
6,Heat (1995),Heat ,1995,Action|Crime|Thriller
7,Sabrina (1995),Sabrina ,1995,Comedy|Romance
8,Tom and Huck (1995),Tom and Huck ,1995,Adventure|Children
9,Sudden Death (1995),Sudden Death ,1995,Action
10,GoldenEye (1995),GoldenEye ,1995,Action|Adventure|Thriller
11,American President The (1995),American President the ,1995,Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It ,1995,Comedy|Horror
13,Balto (1995),Balto ,1995,Adventure|Animation|Children
14,Nixon (1995),Nixon ,1995,Drama
15,Cutthroat Island (1995),Cutthroat Island ,1995,Action|Adventure|Romance
16,Casino (1995),Casino ,1995,Crime|Drama
17,Sense and Sensibility (1995),Sense and Sensibility ,1995,Drama|Romance
18,Four Rooms (1995),Four Rooms ,1995,Comedy
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls ,1995,Comedy
20,Money Train (1995),Money Train ,1995,Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),Get Shorty ,1995,Comedy|Crime|Thriller
22,Copycat (1995),Copycat ,1995,Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),Assassins ,1995,Action|Crime|Thriller
24,Powder (1995),Powder ,1995,Drama|Sci-Fi
25,Leaving Las Vegas (1995),Leaving Las Vegas ,1995,Drama|Romance
26,Othello (1995),Othello ,1995,Drama
27,Now and Then (1995),Now and Then ,1995,Children|Drama
28,Persuasion (1995),Persuasion ,1995,Drama|Romance
29,The City of Lost Children (Cite des enfants perdus La) (1995),The City of Lost Children (Cite des enfants perdus La),1995,Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad ,1995,Crime|Drama
31,Dangerous Minds (1995),Dangerous Minds ,1995,Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Twelve Monkeys ,1995,Mystery|Sci-Fi|Thriller
34,Babe (1995),Babe ,1995,Children|Drama
